,body_shape,colour,condition,displacement,fuel,has_mfk,performance,price,curb_weight,registration_age,mileage,brand
5222,Chopper,rot matt.,Occasion,1684.0,Benzin,False,0.0,19900,410.0,164,28622.0,Harley-davidson
5223,Strasse,weiss,Occasion,1801.0,Benzin,True,98.0,35800,488.0,32,3300.0,Harley-davidson
5224,Touring,schwarz,Occasion,1867.0,Benzin,True,102.0,28500,488.0,29,19300.0,Harley-davidson
5225,Strasse,rot,Occasion,916.0,Benzin,False,103.0,2499,305.0,237,27546.0,Ducati
5226,Strasse,rot,Occasion,992.0,Benzin,False,84.0,6900,303.0,173,21000.0,Ducati
5227,Strasse,rot,Occasion,944.0,Benzin,False,83.0,2500,315.0,247,13331.0,Ducati
5228,Strasse,rot,Occasion,944.0,Benzin,False,83.0,2690,315.0,259,29500.0,Ducati
5229,Strasse,gelb,Occasion,849.0,Benzin,False,125.0,10900,273.0,93,2200.0,Ducati
5230,Strasse,rot,Occasion,849.0,Benzin,False,125.0,10390,273.0,65,7500.0,Ducati
5231,Strasse,rot,Occasion,849.0,Benzin,False,125.0,9000,273.0,77,6250.0,Ducati
5232,Strasse,rot,Occasion,849.0,Benzin,False,125.0,8990,273.0,77,6600.0,Ducati
5233,Strasse,rot,Occasion,849.0,Benzin,False,125.0,9400,273.0,70,9400.0,Ducati
5234,Strasse,grau,Occasion,849.0,Benzin,False,125.0,7500,273.0,69,37800.0,Ducati
5235,Strasse,rot,Occasion,849.0,Benzin,False,125.0,9490,273.0,56,3600.0,Ducati
5236,Strasse,schwarz,Occasion,849.0,Benzin,False,125.0,8200,273.0,91,14000.0,Ducati
5237,Strasse,schwarz,Occasion,849.0,Benzin,False,125.0,9200,273.0,69,13210.0,Ducati
5238,Strasse,schwarz,Occasion,849.0,Benzin,False,125.0,8090,273.0,77,13000.0,Ducati
5239,Strasse,gelb,Occasion,849.0,Benzin,False,125.0,7300,273.0,84,24740.0,Ducati
5240,Strasse,schwarz,Occasion,1099.0,Benzin,False,148.0,8500,273.0,123,33200.0,Ducati
5241,Strasse,rot,Occasion,1099.0,Benzin,False,148.0,11900,273.0,125,29000.0,Ducati
5242,Strasse,weiss,Occasion,1099.0,Benzin,False,148.0,8900,271.0,115,18800.0,Ducati
5243,Strasse,grau,Occasion,1099.0,Benzin,False,148.0,14500,271.0,127,33500.0,Ducati
5244,Strasse,schwarz,Occasion,1099.0,Benzin,False,148.0,10500,273.0,59,2850.0,Ducati
5245,Strasse,rot,Occasion,1099.0,Benzin,False,148.0,10900,271.0,127,10650.0,Ducati
5246,Strasse,weiss,Occasion,1099.0,Benzin,False,148.0,6105,271.0,125,35877.0,Ducati
5247,Strasse,rot,Occasion,1099.0,Benzin,False,148.0,10490,273.0,127,13400.0,Ducati
5248,Strasse,weiss,Occasion,937.0,Benzin,False,110.0,13400,281.0,21,3700.0,Ducati
5249,Strasse,rot,Occasion,937.0,Benzin,False,110.0,12500,281.0,20,5770.0,Ducati
5250,Strasse,weiss,Vorführmodell,937.0,Benzin,True,110.0,14990,281.0,2,700.0,Ducati
5251,Strasse,weiss,Occasion,937.0,Benzin,True,110.0,14800,281.0,29,6500.0,Ducati
5252,Strasse,anthrazit,Neu,937.0,Benzin,True,110.0,14490,281.0,0,10.0,Ducati
5253,Strasse,rot,Occasion,937.0,Benzin,True,110.0,14390,281.0,22,2700.0,Ducati
5254,Strasse,weiss,Vorführmodell,937.0,Benzin,True,110.0,16990,281.0,33,3000.0,Ducati
5255,Strasse,rot,Vorführmodell,937.0,Benzin,True,110.0,13490,281.0,32,4500.0,Ducati
5256,Strasse,rot,Neu,937.0,Benzin,True,110.0,14490,281.0,0,10.0,Ducati
5257,Strasse,rot,Occasion,904.0,Benzin,False,45.0,4500,275.0,273,22397.0,Ducati
5258,Strasse,rot,Occasion,904.0,Benzin,False,45.0,2900,275.0,297,93000.0,Ducati
5259,Strasse,rot,Occasion,904.0,Benzin,False,79.0,3200,281.0,225,57847.0,Ducati
5260,Strasse,rot,Occasion,904.0,Benzin,False,79.0,2900,281.0,249,41880.0,Ducati
5261,Strasse,schwarz,Occasion,748.0,Benzin,False,64.0,4900,181.0,237,3300.0,Ducati
5262,Strasse,rot,Occasion,748.0,Benzin,False,64.0,2750,181.0,229,38000.0,Ducati
5263,Strasse,schwarz,Occasion,748.0,Benzin,False,64.0,4200,181.0,194,6400.0,Ducati
5264,Strasse,grau,Occasion,992.0,Benzin,False,87.0,8500,212.0,91,1400.0,Ducati
5265,Strasse,rot,Occasion,992.0,Benzin,False,87.0,4900,212.0,177,35100.0,Ducati
5266,Sonstige,grau,Occasion,1337.0,Benzin,False,48.0,12450,290.0,321,27100.0,Harley-davidson
5267,Chopper,silber matt.,Occasion,1337.0,Benzin,False,56.0,14900,285.0,273,38000.0,Harley-davidson
5268,Chopper,schwarz,Occasion,1449.0,Benzin,False,68.0,11500,365.0,233,15000.0,Harley-davidson
5269,Chopper,silber matt.,Occasion,1449.0,Benzin,False,68.0,7500,365.0,222,3827.0,Harley-davidson
5270,Chopper,blau,Occasion,1689.0,Benzin,True,75.0,15990,405.0,43,8000.0,Harley-davidson
5271,Chopper,blau,Occasion,1689.0,Benzin,False,75.0,15900,405.0,50,4200.0,Harley-davidson
5272,Chopper,mehrfarbig,Occasion,1689.0,Benzin,True,75.0,16990,405.0,41,1235.0,Harley-davidson
5273,Chopper,rot,Occasion,1689.0,Benzin,False,75.0,14900,405.0,91,10500.0,Harley-davidson
5274,Chopper,schwarz,Occasion,1689.0,Benzin,False,75.0,12800,405.0,91,15000.0,Harley-davidson
5275,Chopper,blau,Occasion,1689.0,Benzin,False,75.0,13400,405.0,79,17800.0,Harley-davidson
5276,Chopper,schwarz,Occasion,1689.0,Benzin,False,75.0,12900,405.0,79,29200.0,Harley-davidson
5277,Chopper,schwarz,Occasion,1689.0,Benzin,False,75.0,11800,405.0,87,20700.0,Harley-davidson
5278,Chopper,orange,Occasion,1689.0,Benzin,False,75.0,12800,405.0,50,12120.0,Harley-davidson
5279,Strasse,schwarz,Occasion,1337.0,Benzin,False,48.0,8900,290.0,281,9400.0,Harley-davidson
5280,Chopper,weiss,Neu,1689.0,Benzin,True,78.0,39900,380.0,0,24.0,Harley-davidson
5281,Chopper,schwarz,Occasion,1449.0,Benzin,False,68.0,6500,365.0,237,61932.0,Harley-davidson
5282,Chopper,schwarz,Occasion,1490.0,Benzin,False,0.0,23800,270.0,509,3500.0,Harley-davidson
5283,Chopper,mehrfarbig matt.,Occasion,1400.0,,False,0.0,14000,280.0,525,100000.0,Harley-davidson
5284,Seitenwagen,bordeaux matt.,Occasion,1337.0,Benzin,False,64.0,28900,450.0,410,27460.0,Harley-davidson
5285,Sonstige,schwarz,Occasion,1867.0,Benzin,True,94.0,35500,392.0,12,10.0,Harley-davidson
5286,Chopper,schwarz,Neu,1867.0,Benzin,True,94.0,42980,392.0,0,10.0,Harley-davidson
5287,Chopper,schwarz matt.,Neu,1745.0,Benzin,True,87.0,26370,392.0,0,1.0,Harley-davidson
5288,Chopper,schwarz matt.,Occasion,1745.0,Benzin,True,87.0,21000,392.0,13,230.0,Harley-davidson
5289,Chopper,schwarz,Neu,1745.0,Benzin,True,87.0,22200,392.0,0,15.0,Harley-davidson
5290,Chopper,weiss,Occasion,1745.0,Benzin,True,87.0,20800,392.0,21,10300.0,Harley-davidson
5291,Chopper,blau matt.,Occasion,1745.0,Benzin,True,87.0,59000,391.0,21,15.0,Harley-davidson
5292,Touring,schwarz,Occasion,1745.0,Benzin,True,87.0,21500,391.0,19,3120.0,Harley-davidson
5293,Chopper,blau matt.,Occasion,1745.0,Benzin,True,87.0,20300,391.0,21,5000.0,Harley-davidson
5294,Chopper,blau,Vorführmodell,1745.0,Benzin,True,87.0,20470,391.0,20,2000.0,Harley-davidson
